,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG
28,28,132,172,160,138,42,0,8,20,44,20,30,56,58,40,0,10,246,88,98,62,72,6,54,118,76,8,38,222,96,120,166,24,98,34,24,14,302,48,0,40,78,80,266,50,56,88,98,136,154,106,28,10,12,13,10,5,2,7,9,5,4,5,14,8,7,6,6,9,5,8,3,7,5,6,8,7,5,10,8,10,6,8,7,11,4,7,6,12,11,4,5,8,10,9,7,6,6,7,9,11,10
29,29,0,44,114,0,0,0,68,36,0,0,0,0,0,0,0,30,30,104,0,110,0,74,142,60,88,18,160,90,92,100,134,186,288,92,72,0,12,34,56,24,44,128,94,174,194,36,14,218,12,110,29,2,12,10,1,0,1,5,9,0,0,6,7,2,9,11,9,6,10,1,6,1,9,9,8,5,8,12,12,13,13,9,14,16,4,7,8,9,6,6,12,8,15,13,15,13,8,6,13,5,8
30,30,6,166,126,20,94,0,0,176,16,30,0,122,0,2,4,188,112,124,84,184,26,4,126,72,396,64,60,148,6,52,18,126,36,2,24,96,76,14,0,32,18,64,52,44,130,150,0,230,24,90,30,9,12,15,10,9,5,6,14,14,3,1,10,3,11,4,6,18,14,10,12,4,5,16,9,16,15,13,16,12,15,12,14,11,9,4,2,8,3,6,9,9,16,11,12,13,9,3,13,7,16
31,31,20,92,22,4,22,10,64,276,34,0,0,14,0,90,0,8,50,46,150,108,0,0,0,30,62,24,22,112,16,0,54,6,292,18,10,0,174,0,0,94,30,188,308,114,224,86,106,102,140,134,31,15,17,13,3,2,9,16,11,14,0,1,8,2,5,7,9,11,8,4,11,2,1,7,15,14,10,11,14,11,10,10,12,13,17,2,1,10,3,1,15,7,18,14,9,15,4,3,12,14,15
32,32,50,70,24,34,66,22,20,146,6,34,8,44,44,14,68,30,64,28,64,122,40,18,90,18,102,92,190,48,58,56,90,92,48,126,84,6,22,20,0,4,72,116,102,76,64,80,2,154,6,154,32,19,23,22,11,12,8,21,21,15,7,5,10,11,8,16,18,11,7,10,14,9,5,17,19,23,14,22,8,12,7,8,20,22,19,9,4,15,11,4,13,21,16,16,13,15,7,5,14,18,23
33,33,76,60,170,50,0,10,0,124,10,96,8,152,18,10,0,30,72,156,0,160,74,24,278,12,84,42,172,78,70,130,142,20,150,68,108,0,72,20,12,70,108,94,102,14,90,32,0,158,14,252,33,7,8,6,6,3,6,8,12,9,12,6,14,9,9,4,3,5,14,2,15,8,5,10,5,5,10,17,13,12,11,13,8,14,11,9,4,7,8,9,9,7,7,13,7,16,8,5,13,8,12
34,34,16,142,24,10,2,60,12,216,36,92,0,126,0,0,0,0,54,60,22,192,8,18,0,22,74,12,72,256,94,76,54,54,8,44,20,92,172,0,0,90,106,50,24,64,158,32,6,186,26,94,34,20,25,25,20,19,11,21,26,21,17,6,15,6,2,5,13,21,18,15,10,4,6,5,8,15,20,25,28,16,14,11,18,24,20,7,8,18,6,2,9,14,19,19,23,20,4,8,20,10,19
35,35,60,98,378,30,60,28,2,114,10,6,28,100,74,114,0,48,236,92,10,80,6,14,38,24,144,8,198,56,44,30,172,12,40,138,42,116,44,2,0,28,0,110,80,86,70,170,28,254,16,84,35,16,13,20,9,14,7,10,17,12,4,4,13,13,5,4,11,13,11,8,8,4,7,10,11,10,16,14,12,12,10,10,11,13,13,4,7,12,7,3,6,6,8,12,9,7,8,7,15,10,12
36,36,48,276,154,0,14,98,114,194,0,0,0,42,0,94,6,44,150,48,32,36,8,2,180,38,66,100,96,102,52,40,64,76,96,104,74,0,32,8,20,12,18,158,64,96,72,32,28,154,32,20,36,14,21,19,1,12,16,21,18,2,9,3,12,10,12,7,13,17,17,12,14,6,12,17,16,16,10,17,15,14,10,13,13,14,15,13,1,15,11,7,9,13,19,13,15,12,15,11,19,12,13
37,37,48,130,52,114,42,0,76,70,98,0,32,64,16,36,36,24,56,16,0,8,2,0,2,28,68,82,164,236,20,200,108,10,50,82,10,52,140,16,30,54,88,60,10,18,176,36,0,130,44,158,37,8,8,8,12,12,2,9,15,4,1,5,10,6,12,13,11,10,9,0,7,12,1,14,6,10,15,15,19,16,20,12,7,10,6,10,5,10,5,12,13,14,11,9,7,16,10,0,16,7,18
